source,sequence,label,start_date,end_date,display_date,weight_pct,return_pct,contribution_pct,start_price,end_price
monthly_sheet,1,2024-12-31 -> 2025-01-31,2024-12-31,2025-01-31,2025-01-31,3.0,6.275571175378114,0.18826713526134342,49.18730545043945,52.27408981323242
monthly_sheet,2,2025-01-31 -> 2025-02-28,2025-01-31,2025-02-28,2025-02-28,3.0,1.5221034814945522,0.0456631044448365,52.27408981323242,53.06975555419922
monthly_sheet,3,2025-02-28 -> 2025-03-31,2025-02-28,2025-03-31,2025-03-31,3.0,1.7544237969200127,0.05263271390760038,53.06975555419922,54.000823974609375
monthly_sheet,4,2025-03-31 -> 2025-04-30,2025-03-31,2025-04-30,2025-04-30,3.0,-12.616657313736823,-0.3784997194121047,54.000823974609375,47.18772506713867
monthly_sheet,5,2025-04-30 -> 2025-05-31,2025-04-30,2025-05-31,2025-05-31,3.0,0.20538434220462864,0.006161530266138859,47.18772506713867,47.28464126586914
monthly_sheet,6,2025-05-31 -> 2025-06-30,2025-05-31,2025-06-30,2025-06-30,3.0,5.740071808983749,0.1722021542695124,47.28464126586914,49.99881362915039
monthly_sheet,7,2025-06-30 -> 2025-07-31,2025-06-30,2025-07-31,2025-07-31,3.0,7.135865726794521,0.21407597180383564,49.99881362915039,53.5666618347168
monthly_sheet,8,2025-07-31 -> 2025-08-31,2025-07-31,2025-08-31,2025-08-31,3.0,3.8792270060081124,0.11637681018024354,53.5666618347168,55.64463424682617
monthly_sheet,9,2025-08-31 -> 2025-09-30,2025-08-31,2025-09-30,2025-09-30,3.0,3.6420743616175866,0.10926223084852743,55.64463424682617,57.6712532043457
monthly_sheet,10,2025-09-30 -> 2025-10-31,2025-09-30,2025-10-31,2025-10-31,3.0,-4.103716765246713,-0.12311150295740117,57.6712532043457,55.30458831787109
monthly_sheet,11,2025-10-31 -> 2025-11-30,2025-10-31,2025-11-30,2025-11-30,3.0,12.515673104394187,0.375470193131825,55.30458831787109,62.2263298034668
monthly_sheet,12,2025-11-30 -> 2025-12-31,2025-11-30,2025-12-31,2025-12-31,3.0,-2.8546273082103557,-0.0856388192463107,62.2263298034668,60.45
monthly_sheet,13,2025-12-31 -> 2026-01-31,2025-12-31,2026-01-31,2026-01-31,3.0,18.14722911497104,0.5444168734491316,60.45,71.42
monthly_sheet,14,2026-01-31 -> 2026-02-28,2026-01-31,2026-02-28,2026-02-28,3.0,0.0,0.0,71.42,
monthly_sheet,15,2026-02-28 -> 2026-03-31,2026-02-28,2026-03-31,2026-03-31,3.0,0.0,0.0,,
monthly_sheet,16,2026-03-31 -> 2026-04-04,2026-03-31,2026-04-04,2026-04-04,3.0,0.0,0.0,,
monthly_ytd,,YTD,2024-12-31,2026-04-04,,,45.20006604541893,1.3560019813625663,49.18730545043945,
period_sheet,1,2024-12-31 -> 2025-01-31,2024-12-31,2025-01-31,2025-01-31,3.0,6.275571175378114,0.18826713526134342,49.18730545043945,52.27408981323242
period_sheet,2,2025-01-31 -> 2025-02-20,2025-01-31,2025-02-20,2025-02-20,3.0,4.437932973854042,0.13313798921562126,52.27408981323242,54.59397888183594
period_sheet,3,2025-02-20 -> 2025-02-26,2025-02-20,2025-02-26,2025-02-26,3.0,-3.722562943158081,-0.11167688829474243,54.59397888183594,52.56168365478516
period_sheet,4,2025-02-26 -> 2025-02-28,2025-02-26,2025-02-28,2025-02-28,3.0,0.9666202908395594,0.02899860872518678,52.56168365478516,53.06975555419922
period_sheet,5,2025-02-28 -> 2025-03-31,2025-02-28,2025-03-31,2025-03-31,3.0,1.7544237969200127,0.05263271390760038,53.06975555419922,54.000823974609375
period_sheet,6,2025-03-31 -> 2025-04-30,2025-03-31,2025-04-30,2025-04-30,3.0,-12.616657313736823,-0.3784997194121047,54.000823974609375,47.18772506713867
period_sheet,7,2025-04-30 -> 2025-05-31,2025-04-30,2025-05-31,2025-05-31,3.0,0.20538434220462864,0.006161530266138859,47.18772506713867,47.28464126586914
period_sheet,8,2025-05-31 -> 2025-06-25,2025-05-31,2025-06-25,2025-06-25,3.0,7.978840512013141,0.23936521536039423,47.28464126586914,51.05740737915039
period_sheet,9,2025-06-25 -> 2025-06-30,2025-06-25,2025-06-30,2025-06-30,3.0,-2.0733401955546293,-0.06220020586663888,51.05740737915039,49.99881362915039
period_sheet,10,2025-06-30 -> 2025-07-31,2025-06-30,2025-07-31,2025-07-31,3.0,7.135865726794521,0.21407597180383564,49.99881362915039,53.5666618347168
