Time,Open,High,Low,Latest,Change
03/25/26,15.8075,15.8075,15.8075,15.8075,0.2142
03/24/26,15.5933,15.5933,15.5933,15.5933,0.1635
03/23/26,15.4298,15.4298,15.4298,15.4298,0.0257
03/20/26,15.4041,15.4041,15.4041,15.4041,-0.3191
03/19/26,15.7232,15.7232,15.7232,15.7232,0.0189
03/18/26,15.7043,15.7043,15.7043,15.7043,-0.2414
03/17/26,15.9457,15.9457,15.9457,15.9457,0.0839
03/16/26,15.8618,15.8618,15.8618,15.8618,0.1034
03/13/26,15.7584,15.7584,15.7584,15.7584,0.0874
03/12/26,15.671,15.671,15.671,15.671,0.0455
03/11/26,15.6255,15.6255,15.6255,15.6255,-0.0722
03/10/26,15.6977,15.6977,15.6977,15.6977,0.028
03/09/26,15.6697,15.6697,15.6697,15.6697,0.028
03/06/26,15.6417,15.6417,15.6417,15.6417,-0.1432
03/05/26,15.7849,15.7849,15.7849,15.7849,-0.1952
03/04/26,15.9801,15.9801,15.9801,15.9801,-0.0181
03/03/26,15.9982,15.9982,15.9982,15.9982,-0.389
03/02/26,16.3872,16.3872,16.3872,16.3872,-0.1456
02/27/26,16.5328,16.5328,16.5328,16.5328,-0.003
02/26/26,16.5358,16.5358,16.5358,16.5358,-0.0419
02/25/26,16.5777,16.5777,16.5777,16.5777,0.0301
02/24/26,16.5476,16.5476,16.5476,16.5476,0.0925
02/23/26,16.4551,16.4551,16.4551,16.4551,0.1079
02/20/26,16.3472,16.3472,16.3472,16.3472,0.0918
02/19/26,16.2554,16.2554,16.2554,16.2554,-0.0087
02/18/26,16.2641,16.2641,16.2641,16.2641,0.0154
02/17/26,16.2487,16.2487,16.2487,16.2487,0.0848
02/13/26,16.1639,16.1639,16.1639,16.1639,-0.0426
02/12/26,16.2065,16.2065,16.2065,16.2065,0.024
02/11/26,16.1825,16.1825,16.1825,16.1825,0.2094
02/10/26,15.9731,15.9731,15.9731,15.9731,-0.0055
02/09/26,15.9786,15.9786,15.9786,15.9786,-0.0496
02/06/26,16.0282,16.0282,16.0282,16.0282,0.0921
02/05/26,15.9361,15.9361,15.9361,15.9361,-0.0251
02/04/26,15.9612,15.9612,15.9612,15.9612,0.2066
02/03/26,15.7546,15.7546,15.7546,15.7546,0.1233
02/02/26,15.6313,15.6313,15.6313,15.6313,0.1509
01/30/26,15.4804,15.4804,15.4804,15.4804,0.0812
01/29/26,15.3992,15.3992,15.3992,15.3992,0.0123
01/28/26,15.3869,15.3869,15.3869,15.3869,-0.095
01/27/26,15.4819,15.4819,15.4819,15.4819,0.1019
01/26/26,15.38,15.38,15.38,15.38,0.1
01/23/26,15.28,15.28,15.28,15.28,-0.0331
01/22/26,15.3131,15.3131,15.3131,15.3131,0.0666
01/21/26,15.2465,15.2465,15.2465,15.2465,0.045
01/20/26,15.2015,15.2015,15.2015,15.2015,-0.1644
01/19/26,15.3659,15.3659,15.3659,15.3659,-0.0787
01/16/26,15.4446,15.4446,15.4446,15.4446,0.0404
01/15/26,15.4042,15.4042,15.4042,15.4042,-0.0359
01/14/26,15.4401,15.4401,15.4401,15.4401,0.1439
01/13/26,15.2962,15.2962,15.2962,15.2962,-0.0303
01/12/26,15.3265,15.3265,15.3265,15.3265,0.0182
01/09/26,15.3083,15.3083,15.3083,15.3083,0.1196
01/08/26,15.1887,15.1887,15.1887,15.1887,0.0816
01/07/26,15.1071,15.1071,15.1071,15.1071,-0.036
01/06/26,15.1431,15.1431,15.1431,15.1431,0.015
01/05/26,15.1281,15.1281,15.1281,15.1281,0.0023
01/02/26,15.1258,15.1258,15.1258,15.1258,0.0333
12/31/25,15.0925,15.0925,15.0925,15.0925,0.0073
12/30/25,15.0852,15.0852,15.0852,15.0852,0.0534
12/29/25,15.0318,15.0318,15.0318,15.0318,0.0185
"Downloaded data provided by Barchart as of 03-26-2026 07:48pm CDT"
