Time,Open,High,Low,Latest,Change
01/16/26,22.744,22.744,22.744,22.744,-0.062
01/15/26,22.806,22.806,22.806,22.806,0.178
01/14/26,22.628,22.628,22.628,22.628,-0.055
01/13/26,22.683,22.683,22.683,22.683,-0.093
01/12/26,22.776,22.776,22.776,22.776,0.066
01/09/26,22.71,22.71,22.71,22.71,0.413
01/08/26,22.297,22.297,22.297,22.297,0.024
01/07/26,22.273,22.273,22.273,22.273,-0.185
01/06/26,22.458,22.458,22.458,22.458,0.162
01/05/26,22.296,22.296,22.296,22.296,0.234
01/02/26,22.062,22.062,22.062,22.062,0.053
12/31/25,22.009,22.009,22.009,22.009,0.063
12/30/25,21.946,21.946,21.946,21.946,0.005
12/29/25,21.941,21.941,21.941,21.941,0.083
12/24/25,21.858,21.858,21.858,21.858,-0.029
12/23/25,21.887,21.887,21.887,21.887,-0.009
12/22/25,21.896,21.896,21.896,21.896,0.01
12/19/25,21.886,21.886,21.886,21.886,0.003
12/18/25,21.883,21.883,21.883,21.883,0.2435
12/17/25,21.6395,21.6395,21.6395,21.6395,-0.0835
12/16/25,21.723,21.723,21.723,21.723,-0.0746
12/15/25,21.7976,21.7976,21.7976,21.7976,0.0994
12/12/25,21.6982,21.6982,21.6982,21.6982,-0.0547
12/11/25,21.7529,21.7529,21.7529,21.7529,0.0617
12/10/25,21.6912,21.6912,21.6912,21.6912,0.0706
12/09/25,21.6206,21.6206,21.6206,21.6206,-0.1591
12/08/25,21.7797,21.7797,21.7797,21.7797,-0.0726
12/05/25,21.8523,21.8523,21.8523,21.8523,-0.2427
12/04/25,22.095,22.095,22.095,22.095,0.0009
12/03/25,22.0941,22.0941,22.0941,22.0941,0.1821
12/02/25,21.912,21.912,21.912,21.912,-0.0786
12/01/25,21.9906,21.9906,21.9906,21.9906,0.0139
11/28/25,21.9767,21.9767,21.9767,21.9767,-0.0109
11/27/25,21.9876,21.9876,21.9876,21.9876,-0.0328
11/26/25,22.0204,22.0204,22.0204,22.0204,0.1611
11/25/25,21.8593,21.8593,21.8593,21.8593,0.1691
11/24/25,21.6902,21.6902,21.6902,21.6902,0.1562
11/21/25,21.534,21.534,21.534,21.534,0.0517
11/20/25,21.4823,21.4823,21.4823,21.4823,0.0865
11/19/25,21.3958,21.3958,21.3958,21.3958,0.0358
11/18/25,21.36,21.36,21.36,21.36,-0.4953
11/17/25,21.8553,21.8553,21.8553,21.8553,-0.2338
11/14/25,22.0891,22.0891,22.0891,22.0891,-0.1293
11/13/25,22.2184,22.2184,22.2184,22.2184,-0.0965
11/12/25,22.3149,22.3149,22.3149,22.3149,0.1134
11/11/25,22.2015,22.2015,22.2015,22.2015,0.189
11/10/25,22.0125,22.0125,22.0125,22.0125,0.1731
11/07/25,21.8394,21.8394,21.8394,21.8394,-0.2059
11/06/25,22.0453,22.0453,22.0453,22.0453,-0.197
11/05/25,22.2423,22.2423,22.2423,22.2423,0.0756
11/04/25,22.1667,22.1667,22.1667,22.1667,-0.1034
11/03/25,22.2701,22.2701,22.2701,22.2701,0.1442
10/31/25,22.1259,22.1259,22.1259,22.1259,-0.1611
10/30/25,22.287,22.287,22.287,22.287,-0.0309
10/29/25,22.3179,22.3179,22.3179,22.3179,-0.2108
10/28/25,22.5287,22.5287,22.5287,22.5287,-0.1831
10/27/25,22.7118,22.7118,22.7118,22.7118,0.0796
10/24/25,22.6322,22.6322,22.6322,22.6322,0.0816
10/23/25,22.5506,22.5506,22.5506,22.5506,0.0925
10/22/25,22.4581,22.4581,22.4581,22.4581,-0.1074
10/21/25,22.5655,22.5655,22.5655,22.5655,-0.0756
10/20/25,22.6411,22.6411,22.6411,22.6411,0.2278
10/17/25,22.4133,22.4133,22.4133,22.4133,-0.0259
10/16/25,22.4392,22.4392,22.4392,22.4392,0.19
10/15/25,22.2492,22.2492,22.2492,22.2492,0.4247
10/14/25,21.8245,21.8245,21.8245,21.8245,0.1154
10/10/25,21.7091,21.7091,21.7091,21.7091,-0.3074
10/09/25,22.0165,22.0165,22.0165,22.0165,-0.1134
10/08/25,22.1299,22.1299,22.1299,22.1299,0.0975
10/07/25,22.0324,22.0324,22.0324,22.0324,-0.1422
10/06/25,22.1746,22.1746,22.1746,22.1746,0.0507
10/03/25,22.1239,22.1239,22.1239,22.1239,0.1671
10/02/25,21.9568,21.9568,21.9568,21.9568,0.2348
10/01/25,21.722,21.722,21.722,21.722,0.2088
09/30/25,21.5132,21.5132,21.5132,21.5132,0.1453
09/29/25,21.3679,21.3679,21.3679,21.3679,0.0955
09/26/25,21.2724,21.2724,21.2724,21.2724,0.1332
09/25/25,21.1392,21.1392,21.1392,21.1392,-0.1879
09/24/25,21.3271,21.3271,21.3271,21.3271,-0.189
09/23/25,21.5161,21.5161,21.5161,21.5161,0.186
09/22/25,21.3301,21.3301,21.3301,21.3301,0.1074
09/19/25,21.2227,21.2227,21.2227,21.2227,-0.2427
09/18/25,21.4654,21.4654,21.4654,21.4654,0.1641
09/17/25,21.3013,21.3013,21.3013,21.3013,0.0358
09/16/25,21.2655,21.2655,21.2655,21.2655,-0.0159
09/15/25,21.2814,21.2814,21.2814,21.2814,0.0149
09/12/25,21.2665,21.2665,21.2665,21.2665,-0.0378
09/11/25,21.3043,21.3043,21.3043,21.3043,0.0408
09/10/25,21.2635,21.2635,21.2635,21.2635,-0.001
09/09/25,21.2645,21.2645,21.2645,21.2645,-0.1124
09/08/25,21.3769,21.3769,21.3769,21.3769,0.0826
09/05/25,21.2943,21.2943,21.2943,21.2943,0.2477
09/04/25,21.0466,21.0466,21.0466,21.0466,0.1114
09/03/25,20.9352,20.9352,20.9352,20.9352,0.2297
09/02/25,20.7055,20.7055,20.7055,20.7055,-0.2516
09/01/25,20.9571,20.9571,20.9571,20.9571,0
08/29/25,20.9571,20.9571,20.9571,20.9571,-0.2129
08/28/25,21.17,21.17,21.17,21.17,-0.0318
08/27/25,21.2018,21.2018,21.2018,21.2018,0.0209
08/26/25,21.1809,21.1809,21.1809,21.1809,-0.0935
08/25/25,21.2744,21.2744,21.2744,21.2744,-0.1343
08/22/25,21.4087,21.4087,21.4087,21.4087,0.2129
08/21/25,21.1958,21.1958,21.1958,21.1958,-0.1622
08/20/25,21.358,21.358,21.358,21.358,0.0289
08/19/25,21.3291,21.3291,21.3291,21.3291,0.2397
08/18/25,21.0894,21.0894,21.0894,21.0894,0.003
08/15/25,21.0864,21.0864,21.0864,21.0864,0.0626
08/14/25,21.0238,21.0238,21.0238,21.0238,0.0478
08/13/25,20.976,20.976,20.976,20.976,0.1452
08/12/25,20.8308,20.8308,20.8308,20.8308,0.0995
08/11/25,20.7313,20.7313,20.7313,20.7313,-0.0925
08/08/25,20.8238,20.8238,20.8238,20.8238,-0.0239
08/07/25,20.8477,20.8477,20.8477,20.8477,0.3362
08/06/25,20.5115,20.5115,20.5115,20.5115,-0.007
08/05/25,20.5185,20.5185,20.5185,20.5185,0.0518
08/04/25,20.4667,20.4667,20.4667,20.4667,0
08/01/25,20.4667,20.4667,20.4667,20.4667,-0.1691
07/31/25,20.6358,20.6358,20.6358,20.6358,-0.202
07/30/25,20.8378,20.8378,20.8378,20.8378,-0.1442
07/29/25,20.982,20.982,20.982,20.982,-0.1064
07/28/25,21.0884,21.0884,21.0884,21.0884,-0.194
07/25/25,21.2824,21.2824,21.2824,21.2824,0.0657
07/24/25,21.2167,21.2167,21.2167,21.2167,0.0835
07/23/25,21.1332,21.1332,21.1332,21.1332,0.2238
07/22/25,20.9094,20.9094,20.9094,20.9094,-0.1303
07/21/25,21.0397,21.0397,21.0397,21.0397,-0.0656
07/18/25,21.1053,21.1053,21.1053,21.1053,-0.1403
07/17/25,21.2456,21.2456,21.2456,21.2456,0.2029
07/16/25,21.0427,21.0427,21.0427,21.0427,-0.1621
