Time,Open,High,Low,Latest,Change
01/19/26,31.0632,31.0632,31.0632,31.0632,-0.1188
01/16/26,31.182,31.182,31.182,31.182,-0.0221
01/15/26,31.2041,31.2041,31.2041,31.2041,-0.127
01/14/26,31.3311,31.3311,31.3311,31.3311,-0.6588
01/13/26,31.9899,31.9899,31.9899,31.9899,0.0953
01/12/26,31.8946,31.8946,31.8946,31.8946,-0.0337
01/09/26,31.9283,31.9283,31.9283,31.9283,0.173
01/08/26,31.7553,31.7553,31.7553,31.7553,-1.2591
01/07/26,33.0144,33.0144,33.0144,33.0144,0.5694
01/06/26,32.445,32.445,32.445,32.445,0.8028
01/05/26,31.6422,31.6422,31.6422,31.6422,0.1378
01/02/26,31.5044,31.5044,31.5044,31.5044,-0.0571
12/31/25,31.5615,31.5615,31.5615,31.5615,-0.3399
12/30/25,31.9014,31.9014,31.9014,31.9014,-0.1349
12/29/25,32.0363,32.0363,32.0363,32.0363,-0.3533
12/24/25,32.3896,32.3896,32.3896,32.3896,-0.049
12/23/25,32.4386,32.4386,32.4386,32.4386,-0.31
12/22/25,32.7486,32.7486,32.7486,32.7486,0.3883
12/19/25,32.3603,32.3603,32.3603,32.3603,0.6862
12/18/25,31.6741,31.6741,31.6741,31.6741,0.5273
12/17/25,31.1468,31.1468,31.1468,31.1468,-0.5766
12/16/25,31.7234,31.7234,31.7234,31.7234,0.1048
12/15/25,31.6186,31.6186,31.6186,31.6186,-0.2165
12/12/25,31.8351,31.8351,31.8351,31.8351,-1.1551
12/11/25,32.9902,32.9902,32.9902,32.9902,-0.1115
12/10/25,33.1017,33.1017,33.1017,33.1017,0.0433
12/09/25,33.0584,33.0584,33.0584,33.0584,0.0151
12/08/25,33.0433,33.0433,33.0433,33.0433,0.277
12/05/25,32.7663,32.7663,32.7663,32.7663,-0.2401
12/04/25,33.0064,33.0064,33.0064,33.0064,-0.1023
12/03/25,33.1087,33.1087,33.1087,33.1087,0.4114
12/02/25,32.6973,32.6973,32.6973,32.6973,0.1738
12/01/25,32.5235,32.5235,32.5235,32.5235,-0.0785
11/28/25,32.602,32.602,32.602,32.602,0.2932
11/27/25,32.3088,32.3088,32.3088,32.3088,-0.0239
11/26/25,32.3327,32.3327,32.3327,32.3327,0.0995
11/25/25,32.2332,32.2332,32.2332,32.2332,0.1968
11/24/25,32.0364,32.0364,32.0364,32.0364,1.2466
11/21/25,30.7898,30.7898,30.7898,30.7898,0.0144
11/20/25,30.7754,30.7754,30.7754,30.7754,-1.4112
11/19/25,32.1866,32.1866,32.1866,32.1866,0.5413
11/18/25,31.6453,31.6453,31.6453,31.6453,-0.5802
11/17/25,32.2255,32.2255,32.2255,32.2255,-0.2263
11/14/25,32.4518,32.4518,32.4518,32.4518,0.0065
11/13/25,32.4453,32.4453,32.4453,32.4453,-1.4723
11/12/25,33.9176,33.9176,33.9176,33.9176,-0.2078
11/11/25,34.1254,34.1254,34.1254,34.1254,-0.37
11/10/25,34.4954,34.4954,34.4954,34.4954,1.31
11/07/25,33.1854,33.1854,33.1854,33.1854,0.2685
11/06/25,32.9169,32.9169,32.9169,32.9169,-1.051
11/05/25,33.9679,33.9679,33.9679,33.9679,0.2534
11/04/25,33.7145,33.7145,33.7145,33.7145,-1.0942
11/03/25,34.8087,34.8087,34.8087,34.8087,-0.0216
10/31/25,34.8303,34.8303,34.8303,34.8303,0.6893
10/30/25,34.141,34.141,34.141,34.141,-0.4504
10/29/25,34.5914,34.5914,34.5914,34.5914,0.2571
10/28/25,34.3343,34.3343,34.3343,34.3343,-0.1117
10/27/25,34.446,34.446,34.446,34.446,0.7574
10/24/25,33.6886,33.6886,33.6886,33.6886,0.6555
10/23/25,33.0331,33.0331,33.0331,33.0331,0.8848
10/22/25,32.1483,32.1483,32.1483,32.1483,-0.7781
10/21/25,32.9264,32.9264,32.9264,32.9264,-0.0953
10/20/25,33.0217,33.0217,33.0217,33.0217,0.5899
10/17/25,32.4318,32.4318,32.4318,32.4318,-0.2155
10/16/25,32.6473,32.6473,32.6473,32.6473,-0.2656
10/15/25,32.9129,32.9129,32.9129,32.9129,0.1632
10/14/25,32.7497,32.7497,32.7497,32.7497,-0.0343
10/10/25,32.784,32.784,32.784,32.784,-1.583
10/09/25,34.367,34.367,34.367,34.367,0.2527
10/08/25,34.1143,34.1143,34.1143,34.1143,0.8767
10/07/25,33.2376,33.2376,33.2376,33.2376,-0.1263
10/06/25,33.3639,33.3639,33.3639,33.3639,0.1091
10/03/25,33.2548,33.2548,33.2548,33.2548,-0.4577
10/02/25,33.7125,33.7125,33.7125,33.7125,0.5062
10/01/25,33.2063,33.2063,33.2063,33.2063,0.3163
09/30/25,32.89,32.89,32.89,32.89,-0.0834
09/29/25,32.9734,32.9734,32.9734,32.9734,0.6287
09/26/25,32.3447,32.3447,32.3447,32.3447,0.182
09/25/25,32.1627,32.1627,32.1627,32.1627,-0.1275
09/24/25,32.2902,32.2902,32.2902,32.2902,-0.609
09/23/25,32.8992,32.8992,32.8992,32.8992,-0.5499
09/22/25,33.4491,33.4491,33.4491,33.4491,-0.3805
09/19/25,33.8296,33.8296,33.8296,33.8296,0.2377
09/18/25,33.5919,33.5919,33.5919,33.5919,0.7122
09/17/25,32.8797,32.8797,32.8797,32.8797,-0.021
09/16/25,32.9007,32.9007,32.9007,32.9007,-0.1406
09/15/25,33.0413,33.0413,33.0413,33.0413,0.2183
09/12/25,32.823,32.823,32.823,32.823,-0.2943
09/11/25,33.1173,33.1173,33.1173,33.1173,-0.1105
09/10/25,33.2278,33.2278,33.2278,33.2278,0.285
09/09/25,32.9428,32.9428,32.9428,32.9428,0.5197
09/08/25,32.4231,32.4231,32.4231,32.4231,0.475
09/05/25,31.9481,31.9481,31.9481,31.9481,0.1241
09/04/25,31.824,31.824,31.824,31.824,0.4165
09/03/25,31.4075,31.4075,31.4075,31.4075,-0.0777
09/02/25,31.4852,31.4852,31.4852,31.4852,-0.2669
09/01/25,31.7521,31.7521,31.7521,31.7521,0
08/29/25,31.7521,31.7521,31.7521,31.7521,-0.4298
08/28/25,32.1819,32.1819,32.1819,32.1819,1.0111
08/27/25,31.1708,31.1708,31.1708,31.1708,-0.0478
08/26/25,31.2186,31.2186,31.2186,31.2186,0.2476
08/25/25,30.971,30.971,30.971,30.971,-0.069
08/22/25,31.04,31.04,31.04,31.04,0.3856
08/21/25,30.6544,30.6544,30.6544,30.6544,0.1783
08/20/25,30.4761,30.4761,30.4761,30.4761,-0.1136
08/19/25,30.5897,30.5897,30.5897,30.5897,-1.1318
08/18/25,31.7215,31.7215,31.7215,31.7215,0.2145
08/15/25,31.507,31.507,31.507,31.507,0.1335
08/14/25,31.3735,31.3735,31.3735,31.3735,-0.2983
08/13/25,31.6718,31.6718,31.6718,31.6718,-0.2674
08/12/25,31.9392,31.9392,31.9392,31.9392,0.4167
08/11/25,31.5225,31.5225,31.5225,31.5225,-0.0336
08/08/25,31.5561,31.5561,31.5561,31.5561,-0.4034
08/07/25,31.9595,31.9595,31.9595,31.9595,0.1633
08/06/25,31.7962,31.7962,31.7962,31.7962,0.9048
08/05/25,30.8914,30.8914,30.8914,30.8914,0.8539
08/04/25,30.0375,30.0375,30.0375,30.0375,0
08/01/25,30.0375,30.0375,30.0375,30.0375,-1.1761
07/31/25,31.2136,31.2136,31.2136,31.2136,0.6641
07/30/25,30.5495,30.5495,30.5495,30.5495,0.7003
07/29/25,29.8492,29.8492,29.8492,29.8492,-0.1163
07/28/25,29.9655,29.9655,29.9655,29.9655,0.2868
07/25/25,29.6787,29.6787,29.6787,29.6787,0.4636
07/24/25,29.2151,29.2151,29.2151,29.2151,0.1424
07/23/25,29.0727,29.0727,29.0727,29.0727,0.1448
07/22/25,28.9279,28.9279,28.9279,28.9279,-0.718
07/21/25,29.6459,29.6459,29.6459,29.6459,-0.0242
07/18/25,29.6701,29.6701,29.6701,29.6701,0.2187
07/17/25,29.4514,29.4514,29.4514,29.4514,0.4581
07/16/25,28.9933,28.9933,28.9933,28.9933,0.1337
07/15/25,28.8596,28.8596,28.8596,28.8596,0.2201
07/14/25,28.6395,28.6395,28.6395,28.6395,0.3191
07/11/25,28.3204,28.3204,28.3204,28.3204,-0.1966
07/10/25,28.517,28.517,28.517,28.517,-0.6596
07/09/25,29.1766,29.1766,29.1766,29.1766,0.4894
07/08/25,28.6872,28.6872,28.6872,28.6872,-0.3167
07/07/25,29.0039,29.0039,29.0039,29.0039,0.2748
07/04/25,28.7291,28.7291,28.7291,28.7291,0.0553
07/03/25,28.6738,28.6738,28.6738,28.6738,0.6116
07/02/25,28.0622,28.0622,28.0622,28.0622,-0.6525
07/01/25,28.7147,28.7147,28.7147,28.7147,0
06/30/25,28.7147,28.7147,28.7147,28.7147,0.181
06/27/25,28.5337,28.5337,28.5337,28.5337,0.1266
06/26/25,28.4071,28.4071,28.4071,28.4071,0.222
06/25/25,28.1851,28.1851,28.1851,28.1851,-0.0896
06/24/25,28.2747,28.2747,28.2747,28.2747,0.6533
06/23/25,27.6214,27.6214,27.6214,27.6214,0.179
06/20/25,27.4424,27.4424,27.4424,27.4424,-0.2408
06/19/25,27.6832,27.6832,27.6832,27.6832,-0.026
06/18/25,27.7092,27.7092,27.7092,27.7092,0.4277
06/17/25,27.2815,27.2815,27.2815,27.2815,0.0009
06/16/25,27.2806,27.2806,27.2806,27.2806,0.518
06/13/25,26.7626,26.7626,26.7626,26.7626,-0.3872
06/12/25,27.1498,27.1498,27.1498,27.1498,-0.36
06/11/25,27.5098,27.5098,27.5098,27.5098,0.1512
06/10/25,27.3586,27.3586,27.3586,27.3586,-0.2881
06/09/25,27.6467,27.6467,27.6467,27.6467,-0.2726
06/06/25,27.9193,27.9193,27.9193,27.9193,0.2642
06/05/25,27.6551,27.6551,27.6551,27.6551,-0.0325
06/04/25,27.6876,27.6876,27.6876,27.6876,0.1609
06/03/25,27.5267,27.5267,27.5267,27.5267,0.0832
06/02/25,27.4435,27.4435,27.4435,27.4435,0.4111
05/30/25,27.0324,27.0324,27.0324,27.0324,0.0723
05/29/25,26.9601,26.9601,26.9601,26.9601,-0.1655
05/28/25,27.1256,27.1256,27.1256,27.1256,-0.0252
05/27/25,27.1508,27.1508,27.1508,27.1508,0.2837
05/26/25,26.8671,26.8671,26.8671,26.8671,0.5471
05/23/25,26.32,26.32,26.32,26.32,-0.3016
05/22/25,26.6216,26.6216,26.6216,26.6216,0.3772
05/21/25,26.2444,26.2444,26.2444,26.2444,-0.6166
05/20/25,26.861,26.861,26.861,26.861,-0.3226
05/16/25,27.1836,27.1836,27.1836,27.1836,0.1527
05/15/25,27.0309,27.0309,27.0309,27.0309,-0.1243
05/14/25,27.1552,27.1552,27.1552,27.1552,0.3776
05/13/25,26.7776,26.7776,26.7776,26.7776,0.7473
05/12/25,26.0303,26.0303,26.0303,26.0303,1.2408
05/09/25,24.7895,24.7895,24.7895,24.7895,-0.1183
05/08/25,24.9078,24.9078,24.9078,24.9078,0.7103
05/07/25,24.1975,24.1975,24.1975,24.1975,0.1844
05/06/25,24.0131,24.0131,24.0131,24.0131,-0.4455
05/05/25,24.4586,24.4586,24.4586,24.4586,-0.1557
05/02/25,24.6143,24.6143,24.6143,24.6143,0.6058
05/01/25,24.0085,24.0085,24.0085,24.0085,0.2991
04/30/25,23.7094,23.7094,23.7094,23.7094,-0.1309
04/29/25,23.8403,23.8403,23.8403,23.8403,0.2327
04/28/25,23.6076,23.6076,23.6076,23.6076,0.0239
04/25/25,23.5837,23.5837,23.5837,23.5837,0.4209
04/24/25,23.1628,23.1628,23.1628,23.1628,0.9049
04/23/25,22.2579,22.2579,22.2579,22.2579,1.0059
04/22/25,21.252,21.252,21.252,21.252,0.5983
04/21/25,20.6537,20.6537,20.6537,20.6537,-0.7776
