Time,Open,High,Low,Latest,Change
01/19/26,58.8011,58.8011,58.8011,58.8011,-0.2081
01/16/26,59.0092,59.0092,59.0092,59.0092,-0.2055
01/15/26,59.2147,59.2147,59.2147,59.2147,0.6451
01/14/26,58.5696,58.5696,58.5696,58.5696,0.409
01/13/26,58.1606,58.1606,58.1606,58.1606,-0.3257
01/12/26,58.4863,58.4863,58.4863,58.4863,-0.4418
01/09/26,58.9281,58.9281,58.9281,58.9281,0.3854
01/08/26,58.5427,58.5427,58.5427,58.5427,0.9979
01/07/26,57.5448,57.5448,57.5448,57.5448,-0.0514
01/06/26,57.5962,57.5962,57.5962,57.5962,1.1486
01/05/26,56.4476,56.4476,56.4476,56.4476,1.4675
01/02/26,54.9801,54.9801,54.9801,54.9801,-0.1957
12/31/25,55.1758,55.1758,55.1758,55.1758,-0.4741
12/30/25,55.6499,55.6499,55.6499,55.6499,-0.2637
12/29/25,55.9136,55.9136,55.9136,55.9136,0.0887
12/24/25,55.8249,55.8249,55.8249,55.8249,-0.0149
12/23/25,55.8398,55.8398,55.8398,55.8398,-0.5722
12/22/25,56.412,56.412,56.412,56.412,0.2814
12/19/25,56.1306,56.1306,56.1306,56.1306,0.3734
12/18/25,55.7572,55.7572,55.7572,55.7572,0.0024
12/17/25,55.7548,55.7548,55.7548,55.7548,-0.1475
12/16/25,55.9023,55.9023,55.9023,55.9023,-0.1471
12/15/25,56.0494,56.0494,56.0494,56.0494,-0.285
12/12/25,56.3344,56.3344,56.3344,56.3344,-0.632
12/11/25,56.9664,56.9664,56.9664,56.9664,0.061
12/10/25,56.9054,56.9054,56.9054,56.9054,0.8022
12/09/25,56.1032,56.1032,56.1032,56.1032,0.2313
12/08/25,55.8719,55.8719,55.8719,55.8719,-0.5608
12/05/25,56.4327,56.4327,56.4327,56.4327,-1.1516
12/04/25,57.5843,57.5843,57.5843,57.5843,0.1863
12/03/25,57.398,57.398,57.398,57.398,0.6468
12/02/25,56.7512,56.7512,56.7512,56.7512,-0.0513
12/01/25,56.8025,56.8025,56.8025,56.8025,-0.394
11/28/25,57.1965,57.1965,57.1965,57.1965,-0.1008
11/27/25,57.2973,57.2973,57.2973,57.2973,-0.0308
11/26/25,57.3281,57.3281,57.3281,57.3281,-0.2821
11/25/25,57.6102,57.6102,57.6102,57.6102,1.4533
11/24/25,56.1569,56.1569,56.1569,56.1569,0.3843
11/21/25,55.7726,55.7726,55.7726,55.7726,1.6925
11/20/25,54.0801,54.0801,54.0801,54.0801,0.1163
11/19/25,53.9638,53.9638,53.9638,53.9638,0.4176
11/18/25,53.5462,53.5462,53.5462,53.5462,-0.2357
11/17/25,53.7819,53.7819,53.7819,53.7819,-0.9786
11/14/25,54.7605,54.7605,54.7605,54.7605,-0.3144
11/13/25,55.0749,55.0749,55.0749,55.0749,-0.721
11/12/25,55.7959,55.7959,55.7959,55.7959,-0.0791
11/11/25,55.875,55.875,55.875,55.875,0.5622
11/10/25,55.3128,55.3128,55.3128,55.3128,0.473
11/07/25,54.8398,54.8398,54.8398,54.8398,-0.3104
11/06/25,55.1502,55.1502,55.1502,55.1502,-1.1066
11/05/25,56.2568,56.2568,56.2568,56.2568,-0.0176
11/04/25,56.2744,56.2744,56.2744,56.2744,-0.2981
11/03/25,56.5725,56.5725,56.5725,56.5725,-0.0211
10/31/25,56.5936,56.5936,56.5936,56.5936,0.4269
10/30/25,56.1667,56.1667,56.1667,56.1667,-0.593
10/29/25,56.7597,56.7597,56.7597,56.7597,-1.3143
10/28/25,58.074,58.074,58.074,58.074,-0.394
10/27/25,58.468,58.468,58.468,58.468,-0.2197
10/24/25,58.6877,58.6877,58.6877,58.6877,0.0954
10/23/25,58.5923,58.5923,58.5923,58.5923,0.6987
10/22/25,57.8936,57.8936,57.8936,57.8936,-0.2983
10/21/25,58.1919,58.1919,58.1919,58.1919,0.3571
10/20/25,57.8348,57.8348,57.8348,57.8348,1.1056
10/17/25,56.7292,56.7292,56.7292,56.7292,-0.041
10/16/25,56.7702,56.7702,56.7702,56.7702,0.1255
10/15/25,56.6447,56.6447,56.6447,56.6447,0.1333
10/14/25,56.5114,56.5114,56.5114,56.5114,1.3669
10/10/25,55.1445,55.1445,55.1445,55.1445,-2.0593
10/09/25,57.2038,57.2038,57.2038,57.2038,-0.1109
10/08/25,57.3147,57.3147,57.3147,57.3147,0.6614
10/07/25,56.6533,56.6533,56.6533,56.6533,-0.6107
10/06/25,57.264,57.264,57.264,57.264,-0.2502
10/03/25,57.5142,57.5142,57.5142,57.5142,0.0647
10/02/25,57.4495,57.4495,57.4495,57.4495,0.6127
10/01/25,56.8368,56.8368,56.8368,56.8368,0.3838
09/30/25,56.453,56.453,56.453,56.453,0.4998
09/29/25,55.9532,55.9532,55.9532,55.9532,-0.0016
09/26/25,55.9548,55.9548,55.9548,55.9548,0.5445
09/25/25,55.4103,55.4103,55.4103,55.4103,-0.283
09/24/25,55.6933,55.6933,55.6933,55.6933,-0.0546
09/23/25,55.7479,55.7479,55.7479,55.7479,-0.6918
09/22/25,56.4397,56.4397,56.4397,56.4397,0.4515
09/19/25,55.9882,55.9882,55.9882,55.9882,-0.6065
09/18/25,56.5947,56.5947,56.5947,56.5947,1.0814
09/17/25,55.5133,55.5133,55.5133,55.5133,0.1554
09/16/25,55.3579,55.3579,55.3579,55.3579,-0.2059
09/15/25,55.5638,55.5638,55.5638,55.5638,-0.474
09/12/25,56.0378,56.0378,56.0378,56.0378,-0.9507
09/11/25,56.9885,56.9885,56.9885,56.9885,1.1265
09/10/25,55.862,55.862,55.862,55.862,-0.9443
09/09/25,56.8063,56.8063,56.8063,56.8063,-0.229
09/08/25,57.0353,57.0353,57.0353,57.0353,-0.1966
09/05/25,57.2319,57.2319,57.2319,57.2319,0.5657
09/04/25,56.6662,56.6662,56.6662,56.6662,0.4013
09/03/25,56.2649,56.2649,56.2649,56.2649,0.1771
09/02/25,56.0878,56.0878,56.0878,56.0878,-0.1129
09/01/25,56.2007,56.2007,56.2007,56.2007,0
08/29/25,56.2007,56.2007,56.2007,56.2007,-0.2515
08/28/25,56.4522,56.4522,56.4522,56.4522,-0.2624
