Time,Open,High,Low,Latest,Change
01/19/26,30.62,30.62,30.62,30.62,-0.1
01/16/26,30.72,30.72,30.72,30.72,-0.07
01/15/26,30.79,30.79,30.79,30.79,0.11
01/14/26,30.68,30.68,30.68,30.68,-0.2
01/13/26,30.88,30.88,30.88,30.88,-0.09
01/12/26,30.97,30.97,30.97,30.97,-0.04
01/09/26,31.01,31.01,31.01,31.01,0.21
01/08/26,30.8,30.8,30.8,30.8,-0.05
01/07/26,30.85,30.85,30.85,30.85,0.05
01/06/26,30.8,30.8,30.8,30.8,0.2
01/05/26,30.6,30.6,30.6,30.6,0.26
01/02/26,30.34,30.34,30.34,30.34,0.01
12/31/25,30.33,30.33,30.33,30.33,-0.17
12/30/25,30.5,30.5,30.5,30.5,-0.04
12/29/25,30.54,30.54,30.54,30.54,-0.05
12/24/25,30.59,30.59,30.59,30.59,0.02
12/23/25,30.57,30.57,30.57,30.57,0.01
12/22/25,30.56,30.56,30.56,30.56,0.08
12/19/25,30.48,30.48,30.48,30.48,0.35
12/18/25,30.13,30.13,30.13,30.13,0.27
12/17/25,29.86,29.86,29.86,29.86,-0.29
12/16/25,30.15,30.15,30.15,30.15,-0.1175
12/15/25,30.2675,30.2675,30.2675,30.2675,0.0476
12/12/25,30.2199,30.2199,30.2199,30.2199,-0.3428
12/11/25,30.5627,30.5627,30.5627,30.5627,0.0762
12/10/25,30.4865,30.4865,30.4865,30.4865,0.1238
12/09/25,30.3627,30.3627,30.3627,30.3627,0.0285
12/08/25,30.3342,30.3342,30.3342,30.3342,-0.0381
12/05/25,30.3723,30.3723,30.3723,30.3723,-0.1999
12/04/25,30.5722,30.5722,30.5722,30.5722,0.0857
12/03/25,30.4865,30.4865,30.4865,30.4865,-0.1047
12/02/25,30.5912,30.5912,30.5912,30.5912,0.019
12/01/25,30.5722,30.5722,30.5722,30.5722,-0.0857
11/28/25,30.6579,30.6579,30.6579,30.6579,-0.0285
11/27/25,30.6864,30.6864,30.6864,30.6864,-0.0191
11/26/25,30.7055,30.7055,30.7055,30.7055,0.0191
11/25/25,30.6864,30.6864,30.6864,30.6864,0.2761
11/24/25,30.4103,30.4103,30.4103,30.4103,0.5046
11/21/25,29.9057,29.9057,29.9057,29.9057,0.3618
11/20/25,29.5439,29.5439,29.5439,29.5439,-0.3809
11/19/25,29.9248,29.9248,29.9248,29.9248,0.2857
11/18/25,29.6391,29.6391,29.6391,29.6391,-0.3809
11/17/25,30.02,30.02,30.02,30.02,-0.3046
11/14/25,30.3246,30.3246,30.3246,30.3246,0.0095
11/13/25,30.3151,30.3151,30.3151,30.3151,-0.4094
11/12/25,30.7245,30.7245,30.7245,30.7245,0.0285
11/11/25,30.696,30.696,30.696,30.696,0
11/10/25,30.696,30.696,30.696,30.696,0.4856
11/07/25,30.2104,30.2104,30.2104,30.2104,-0.0571
11/06/25,30.2675,30.2675,30.2675,30.2675,-0.2952
11/05/25,30.5627,30.5627,30.5627,30.5627,0.1238
11/04/25,30.4389,30.4389,30.4389,30.4389,-0.1904
11/03/25,30.6293,30.6293,30.6293,30.6293,0.1428
10/31/25,30.4865,30.4865,30.4865,30.4865,0.1238
10/30/25,30.3627,30.3627,30.3627,30.3627,-0.0857
10/29/25,30.4484,30.4484,30.4484,30.4484,0.019
10/28/25,30.4294,30.4294,30.4294,30.4294,-0.1047
10/27/25,30.5341,30.5341,30.5341,30.5341,0.3713
10/24/25,30.1628,30.1628,30.1628,30.1628,0.2666
10/23/25,29.8962,29.8962,29.8962,29.8962,0.1714
10/22/25,29.7248,29.7248,29.7248,29.7248,-0.2
10/21/25,29.9248,29.9248,29.9248,29.9248,0.0667
10/20/25,29.8581,29.8581,29.8581,29.8581,0.3523
10/17/25,29.5058,29.5058,29.5058,29.5058,0.1142
10/16/25,29.3916,29.3916,29.3916,29.3916,-0.2856
10/15/25,29.6772,29.6772,29.6772,29.6772,0.0095
10/14/25,29.6677,29.6677,29.6677,29.6677,0.5046
10/10/25,29.1631,29.1631,29.1631,29.1631,-0.8188
10/09/25,29.9819,29.9819,29.9819,29.9819,0.0381
10/08/25,29.9438,29.9438,29.9438,29.9438,0.1333
10/07/25,29.8105,29.8105,29.8105,29.8105,-0.0952
10/06/25,29.9057,29.9057,29.9057,29.9057,0.0857
10/03/25,29.82,29.82,29.82,29.82,-0.0762
10/02/25,29.8962,29.8962,29.8962,29.8962,0.0762
